"","full_name","castaway_id","castaway","version","version_season","season_name","season","age","city","state","episode","day","order","result","jury_status","original_tribe","date_of_birth","date_of_death","gender","race","ethnicity","poc","occupation","personality_type","screen_time_ep1","confessional_count_ep1","ncontestants","age_group","OUT"
"509","Justin Starrett","US0493","Jay","US","US33","Survivor: Millennials vs. Gen X",33,27,"Fort Lauderdale","Florida",13,36,15,"15th voted out","8th jury member","Vanua",1989-06-03,NA,"Male",NA,"Hispanic or Latino","POC","Real Estate Agent","ESTP",NA,2,20,"26-29",NA
"510","Justine Brennan","US0635","Justine","US","US43","Survivor: 43",43,29,"Marina Del Ray","California",NA,NA,NA,NA,NA,"Vesi",NA,NA,"Female",NA,NA,"POC","Cyber Security Analyst",NA,NA,2,NA,"26-29",NA
"511","Karishma Patel","US0583","Karishma","US","US39","Survivor: Island of the Idols",39,37,"Houston","Texas",11,32,13,"13th voted out","7th jury member","Lairo",1981-12-07,NA,"Female","Asian",NA,"POC","Personal Injury Lawyer","INFP",NA,2,20,"35-39",NA
"512","Karla Cruz Godoy","US0636","Karla","US","US43","Survivor: 43",43,28,"Dewark","Delaware",NA,NA,NA,NA,NA,"Coco",1994-02-19,NA,"Female",NA,NA,"White","Educational Project Manager",NA,NA,6,NA,"26-29",NA
"513","Kaseran Pillay","SA0044","Kaseran","SA","SA03","Survivor South Africa: Santa Carolina",3,34,"Johannesburg","Gauteng",12,25,14,"12th voted out","6th jury member","Timbila",1976-01-05,NA,"Male",NA,NA,NA,"Comedian",NA,NA,2,18,"30-34",NA
"514","Kassandra McQuillen","US0422","Kass","US","US31","Survivor: Cambodia",31,43,"Tehachapi","California",7,19,8,"7th voted out","1st jury member","Bayon",1971-11-08,NA,"Female",NA,NA,"White","Attorney","INTJ",NA,2,20,"40-44",NA
"515","Kassandra McQuillen","US0422","Kass","US","US28","Survivor: Cagayan",28,41,"Tehachapi","California",13,38,16,"15th voted out","9th jury member","Luzon",1971-11-08,NA,"Female",NA,NA,"White","Attorney","INTJ",NA,5,18,"40-44",NA
"516","Kat Edorsson","US0365","Kat","US","US24","Survivor: One World",24,22,"Orlando","Florida",12,33,12,"10th voted out","6th jury member","Salani",1989-06-22,NA,"Female",NA,NA,"White","Timeshare Representative;Full Time Student/Sales","ENFP",NA,0,17,"22-25",NA
"517","Kat Edorsson","US0365","Kat","US","US27","Survivor: Blood vs. Water",27,23,"Orlando","Florida",6,16,10,"8th voted out",NA,"Galang",1989-06-22,NA,"Female",NA,NA,"White","Timeshare Representative;Full Time Student/Sales","ENFP",NA,2,23,"22-25",NA
"518","Kate Austin","AU0136","KJ","AU","AU07","Survivor Australia: Blood vs. Water",7,37,NA,"Victoria",23,NA,24,"22nd voted out","9th jury member","Water",NA,NA,"Female",NA,NA,NA,NA,"ISFJ",NA,1,28,"35-39",NA
"519","Kate Austin","AU0136","KJ","AU","AU07","Survivor Australia: Blood vs. Water",7,37,NA,"Victoria",17,NA,18,"16th voted out",NA,"Water",NA,NA,"Female",NA,NA,NA,NA,"ISFJ",NA,1,28,"35-39",NA
"520","Kate Campbell","AU0013","Kate","AU","AU01","Survivor Australia: 2016",1,28,"Perth","WA",16,35,13,"12th voted out",NA,"Vavau",NA,NA,"Female",NA,NA,NA,"Financial Analyst",NA,NA,0,24,"26-29",NA
"521","Kate Tatham","AU0127","Kate","AU","AU07","Survivor Australia: Blood vs. Water",7,46,NA,"Queensland",3,NA,3,"3rd voted out",NA,"Blood",NA,NA,"Female",NA,NA,NA,NA,NA,NA,2,28,"45-50",NA
"522","Kate Temby","AU0027","Kate","AU","AU02","Survivor Australia: 2017",2,47,"Melbourne","VIC",3,9,3,"3rd voted out",NA,"Samatau",NA,NA,"Female",NA,NA,NA,"Financial Executive",NA,NA,0,24,"45-50",NA
"523","Kathy Vavrick-O'Brien","US0062","Kathy","US","US08","Survivor: All-Stars",8,48,"Burlington","Vermont",12,28,11,"9th voted out","2nd jury member","Mogo Mogo",1955-01-06,NA,"Female",NA,NA,"White","Real Estate Agent","ESFJ",NA,1,17,"45-50",NA
"524","Kathy Vavrick-O'Brien","US0062","Kathy","US","US04","Survivor: Marquesas",4,46,"Burlington","Vermont",14,38,14,"13th voted out","7th jury member","Rotu",1955-01-06,NA,"Female",NA,NA,"White","Real Estate Agent","ESFJ",NA,3,16,"45-50",NA
"525","Katie Gallagher","US0149","Katie","US","US10","Survivor: Palau",10,29,"Merced","California",15,39,19,"Runner-up",NA,"Koror",1975-05-28,NA,"Female",NA,NA,"White","Advertising Executive","ESFP",NA,4,20,"26-29",NA
"526","Katie Hanson","US0377","Katie","US","US25","Survivor: Philippines",25,22,"Newark","Delaware",6,16,7,"6th voted out",NA,"Kalabaw",1989-11-29,NA,"Female",NA,NA,"White","Former Miss Delaware","ENTP",NA,1,18,"22-25",NA
"527","Katinka Oosthuizen","SA0101","Katinka","SA","SA06","Survivor South Africa: Philippines",6,19,"Mossel Bay","Western Cape",14,35,14,"12th voted out","6th jury member","Mindanao",NA,NA,"Female",NA,NA,NA,"Social Media Influencer",NA,NA,3,18,"18-21",NA
"528","Katrina Radke","US0499","Katrina","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,46,"Excelsior","Minnesota",1,3,1,"1st voted out",NA,"Levu",1970-12-17,NA,"Female",NA,NA,"White","Olympian","ENFP",NA,2,18,"45-50",NA
"529","Keith Famie","US0030","Keith","US","US02","Survivor: The Australian Outback",2,40,"West Bloomfield","Michigan",15,41,14,"13th voted out","7th jury member","Ogakor",1960-02-11,NA,"Male",NA,NA,"White","Chef","ESTJ",NA,4,16,"35-39",NA
"530","Keith Nale","US0439","Keith","US","US29","Survivor: San Juan del Sur",29,53,"Shreveport","Louisiana",14,38,15,"14th voted out","8th jury member","Hunahpu",1960-08-16,NA,"Male",NA,NA,"White","Fire Captain","ISTP",NA,7,18,"51-55",NA
"531","Keith Nale","US0439","Keith","US","US31","Survivor: Cambodia",31,54,"Keithville","Louisiana",14,37,16,"15th voted out","9th jury member","Bayon",1960-08-16,NA,"Male",NA,NA,"White","Fire Captain","ISTP",NA,2,20,"51-55",NA
"532","Keith Sowell","US0558","Keith","US","US38","Survivor: Edge of Extinction",38,19,"Durham","North Carolina",2,6,2,"2nd voted out",NA,"Manu",1998-07-16,NA,"Male","Black",NA,"POC","Pre-Med Student","INFP",NA,5,20,"18-21",NA
"533","Keith Tollefson","US0344","Keith","US","US23","Survivor: South Pacific",23,26,"Edina","Minnesota",8,21,8,"8th voted out","2nd jury member","Savaii",1985-10-01,NA,"Male",NA,NA,"White","Water Treatment Tech","ISFP",NA,0,20,"26-29",NA
"534","Kel Gleason","US0018","Kel","US","US02","Survivor: The Australian Outback",2,32,"Fort Hood","Texas",2,6,2,"2nd voted out",NA,"Ogakor",1968-01-05,NA,"Male",NA,"Hispanic or Latino, Native American","POC","Army Intelligence Officer","ISTJ",NA,0,16,"30-34",NA
"535","Kellee Kim","US0578","Kellee","US","US39","Survivor: Island of the Idols",39,29,"Philadelphia","Pennsylvania",8,22,8,"8th voted out","2nd jury member","Vokai",1989-10-17,NA,"Female","Asian",NA,"POC","MBA Student","INTP",NA,3,20,"26-29",NA
"536","Kelley Wentworth","US0429","Kelley","US","US29","Survivor: San Juan del Sur",29,28,"Seattle","Washington",5,13,5,"5th voted out",NA,"Hunahpu",1986-06-07,NA,"Female",NA,NA,"White","Marketing Manager","ENTP",NA,1,18,"26-29",NA
"537","Kelley Wentworth","US0429","Kelley","US","US38","Survivor: Edge of Extinction",38,32,"Seattle","Washington",9,27,11,"11th voted out","7th jury member","Manu",1986-06-07,NA,"Female",NA,NA,"White","Marketing Manager","ENTP",NA,2,20,"30-34",NA
"538","Kelley Wentworth","US0429","Kelley","US","US31","Survivor: Cambodia",31,29,"Seattle","Washington",14,38,17,"16th voted out","10th jury member","Ta Keo",1986-06-07,NA,"Female",NA,NA,"White","Marketing Manager","ENTP",NA,7,20,"26-29",NA
"539","Kelly Bruno","US0307","Kelly B.","US","US21","Survivor: Nicaragua",21,26,"Durham","North Carolina",6,15,6,"6th voted out",NA,"La Flor",1984-03-23,NA,"Female",NA,NA,"White","Medical Student","ISFP",NA,3,20,"26-29",NA
"540","Kelly Czarnecki","US0253","Kelly","US","US17","Survivor: Gabon",17,22,"Buffalo Grove","Illinois",5,18,6,"6th voted out",NA,"Kota",1986-04-04,NA,"Female",NA,NA,"White","Retail Sales","INFP",NA,0,18,"22-25",NA
"541","Kelly Goldsmith","US0040","Kelly","US","US03","Survivor: Africa",3,22,"San Diego","California",9,24,8,"8th voted out","1st jury member","Boran",1979-04-27,NA,"Female",NA,NA,"White","Behavioral Research Analyst","ENTP",NA,0,16,"22-25",NA
"542","Kelly Remington","US0449","Kelly","US","US30","Survivor: Worlds Apart",30,44,"Grand Island","New York",7,19,7,"7th voted out",NA,"Escameca",1970-04-27,NA,"Female",NA,NA,"White","State Trooper","ISTJ",NA,1,18,"40-44",NA
"543","Kelly Sharbaugh","US0291","Kelly","US","US19","Survivor: Samoa",19,25,"San Diego","California",9,24,10,"8th voted out","2nd jury member","Galu",1983-12-26,NA,"Female",NA,NA,"White","Hairstylist","ISFP",NA,0,20,"22-25",NA
"544","Kelly Wiglesworth","US0015","Kelly","US","US01","Survivor: Borneo",1,22,"Kernville","California",14,39,15,"Runner-up",NA,"Tagi",1977-06-24,NA,"Female",NA,NA,"White","River Guide","ISFP",NA,2,16,"22-25",NA
"545","Kelly Wiglesworth","US0015","Kelly","US","US31","Survivor: Cambodia",31,37,"Greensboro","North Carolina",9,24,10,"9th voted out","3rd jury member","Ta Keo",1977-06-24,NA,"Female",NA,NA,"White","River Guide","ISFP",NA,3,20,"35-39",NA
"546","Kellyn Bechtold","US0530","Kellyn","US","US36","Survivor: Ghost Island",36,30,"Denver","Colorado",12,35,14,"14th voted out","7th jury member","Naviti",1986-11-01,NA,"Female",NA,NA,"White","Career Counselor","ESFJ",NA,2,20,"26-29",NA
"547","Ken Hoang","US0261","Ken","US","US17","Survivor: Gabon",17,22,"Westminster","California",13,37,14,"14th voted out","6th jury member","Fang",1985-10-10,NA,"Male","Asian","Vietnamese American","POC","Professional Gamer","INTP",NA,6,18,"22-25",NA
"548","Ken McNickle","US0497","Ken","US","US33","Survivor: Millennials vs. Gen X",33,33,"Denver","Colorado",14,39,19,"Co-runner-up",NA,"Takali",1982-09-20,NA,"Male",NA,NA,"White","Model","ISFP",NA,1,20,"30-34",NA
"549","Ken Stafford","US0073","Ken","US","US05","Survivor: Thailand",5,30,"Brooklyn","New York",9,27,9,"9th voted out","2nd jury member","Sook Jai",1972-06-20,NA,"Male",NA,NA,"White","NYC Police Officer","ESTJ",NA,1,16,"26-29",NA
"550","Kent Nelson","AU0033","Kent","AU","AU02","Survivor Australia: 2017",2,51,"Adelaide","SA",10,24,9,"9th voted out",NA,"Asaga",NA,NA,"Male",NA,NA,NA,"Chief Financial Officer",NA,NA,5,24,"51-55",NA
"551","Kenward Bernis","US0217","Boo","US","US14","Survivor: Fiji",14,34,"Lafayette","Louisiana",14,37,15,"14th voted out","8th jury member","Moto",1972-06-21,NA,"Male",NA,NA,"White","Construction Worker","ISTP",NA,1,19,"30-34",NA
"552","Kerryn McGee","AU0107","Kez","AU","AU06","Survivor Australia: Brains vs. Brawn",6,25,"Busselton","WA",13,27,12,"12th voted out",NA,"Brawn",NA,NA,"Female",NA,NA,NA,"Bodybuilder",NA,NA,1,26,"22-25",NA
"553","Khanh Ong","AU0135","Khanh","AU","AU07","Survivor Australia: Blood vs. Water",7,30,NA,"Victoria",13,NA,13,"11th voted out","1st jury member","Water",NA,NA,"Male",NA,NA,NA,NA,"ENFP",NA,1,28,"26-29",NA
"554","Killarney Jones","SA0070","Killarney","SA","SA09","Survivor South Africa: Return of the Outcasts",9,51,"Benoni","GP",21,35,16,"16th voted out","7th jury member","Yontau",NA,NA,"Female",NA,NA,NA,"Martial Artist",NA,NA,1,20,"51-55",NA
"555","Killarney Jones","SA0070","Killarney","SA","SA05","Survivor South Africa: Champions",5,44,"Benoni","Gauteng",4,7,3,"3rd voted out",NA,"Utara",NA,NA,"Female",NA,NA,NA,"Martial Artist",NA,NA,0,20,"40-44",NA
"556","Kim Johnson","US0047","Kim J.","US","US03","Survivor: Africa",3,56,"Oyster Bay","New York",15,39,15,"Runner-up",NA,"Boran",1944-09-18,NA,"Female",NA,NA,"White","Retired Teacher","ISFJ",NA,1,16,"56-60",NA
"557","Kim Powers","US0043","Kim P.","US","US03","Survivor: Africa",3,29,"Conshohocken","Pennsylvania",12,33,11,"11th voted out","4th jury member","Samburu",1971-12-03,NA,"Female",NA,NA,"White","Freelance Marketer","INFP",NA,3,16,"26-29",NA
"558","Kim Spradlin-Wolfe","US0371","Kim","US","US40","Survivor: Winners at War",40,36,"San Antonio","Texas",12,29,14,"14th voted out","11th jury member","Dakal",1983-01-30,NA,"Female",NA,NA,"White","Bridal Shop Owner;Interior Designer","INFJ",NA,1,22,"35-39",NA
"559","Kimberly Mullen","US0136","Kim","US","US10","Survivor: Palau",10,25,"Huber Heights","Ohio",4,11,6,"4th voted out",NA,"Ulong",1979-03-13,NA,"Female",NA,NA,"White","Graduate Student","INTJ",NA,0,20,"22-25",NA
"560","Kimmi Kappenberg","US0021","Kimmi","US","US31","Survivor: Cambodia",31,42,"The Woodlands","Texas",14,36,15,"14th voted out","8th jury member","Bayon",1972-11-11,NA,"Female",NA,NA,"White","Bartender","ENFP",NA,2,20,"40-44",NA
"561","Kimmi Kappenberg","US0021","Kimmi","US","US02","Survivor: The Australian Outback",2,27,"Ronkonkoma","New York",5,15,5,"5th voted out",NA,"Kucha",1972-11-11,NA,"Female",NA,NA,"White","Bartender","ENFP",NA,6,16,"26-29",NA
"562","Kiran Naidoo","SA0142","Kiran","SA","SA08","Survivor South Africa: Immunity Island",8,29,"Johannesburg","Gauteng",14,35,16,"14th voted out","8th jury member","Vuna",NA,NA,"Male",NA,NA,NA,"Strategy Consultant",NA,NA,2,20,"26-29",NA
"563","Krista Klumpp","US0325","Krista","US","US22","Survivor: Redemption Island",22,25,"Columbia","South Carolina",5,13,5,"5th voted out",NA,"Zapatera",1985-07-27,NA,"Female",NA,NA,"White","Pharmaceutical Representative","ISFP",NA,0,20,"22-25",NA
"564","Kristie Bennet","AU0024","Kristie","AU","AU01","Survivor Australia: 2016",1,24,"Sydney","NSW",26,55,24,"Sole Survivor",NA,"Aganoa",1991-12-15,NA,"Female",NA,NA,NA,"Senior Account Executive",NA,NA,3,24,"22-25",NA
"565","Kristina Kell","US0324","Kristina","US","US22","Survivor: Redemption Island",22,46,"Malibu","California",4,11,4,"4th voted out",NA,"Ometepe",1964-12-26,NA,"Female",NA,NA,"White","Law Student","INTP",NA,8,20,"45-50",NA
"566","Kyle Jason","US0473","Jason","US","US32","Survivor: Kaoh Rong",32,31,"Detroit","Michigan",12,32,13,"11th voted out","6th jury member","To Tang",1984-07-16,NA,"Male",NA,NA,"White","Bounty Hunter","ESTJ",NA,5,18,"30-34",NA
"567","Kylie Evans","AU0015","Kylie","AU","AU01","Survivor Australia: 2016",1,38,"Melbourne","VIC",18,39,15,"14th voted out","2nd jury member","Saanapu",1978-04-27,NA,"Female",NA,NA,NA,"Firefighter",NA,NA,3,24,"35-39",NA
"568","Lady Lea Moscou Barrett","SA0036","Lady Lea","SA","SA03","Survivor South Africa: Santa Carolina",3,29,"Johannesburg","Gauteng",4,11,6,"4th voted out",NA,"Timbila",1980-04-21,NA,"Female",NA,NA,NA,"DJ",NA,NA,3,18,"26-29",NA
"569","Laetitia le Roux","SA0123","Laetitia","SA","SA07","Survivor South Africa: Island of Secrets",7,58,"Randburg","Gauteng",18,38,18,"17th voted out","10th jury member","Laumei",NA,NA,"Female",NA,NA,NA,"Nurse",NA,NA,5,21,"56-60",NA
"570","Latasha Fox","US0419","Tasha","US","US28","Survivor: Cagayan",28,37,"St. Louis","Missouri",11,33,13,"12th voted out","6th jury member","Luzon",1977-01-03,NA,"Female","Black",NA,"POC","Accountant","ENFJ",NA,6,18,"35-39",NA
"571","Latasha Fox","US0419","Tasha","US","US31","Survivor: Cambodia",31,38,"St. Louis","Missouri",15,39,19,"Co-runner-up",NA,"Bayon",1977-01-03,NA,"Female","Black",NA,"POC","Accountant","ENFJ",NA,2,20,"35-39",NA
"572","Laura Alexander","US0390","Laura","US","US26","Survivor: Caramoan",26,23,"Washington","D.C.",4,10,5,"4th voted out",NA,"Gota",1989-09-12,NA,"Female",NA,NA,"White","Administrative Officer","ENTP",NA,2,20,"22-25",NA
"573","Laura Boneham","US0397","Laura B.","US","US27","Survivor: Blood vs. Water",27,44,"Indianapolis","Indiana",7,18,11,"9th voted out",NA,"Tadhana",1968-08-29,NA,"Female",NA,NA,"White","Merchandiser",NA,NA,3,23,"40-44",NA
"574","Laura Boneham","US0397","Laura B.","US","US27","Survivor: Blood vs. Water",27,44,"Indianapolis","Indiana",1,1,1,"1st voted out",NA,"Tadhana",1968-08-29,NA,"Female",NA,NA,"White","Merchandiser",NA,NA,3,23,"40-44",NA
"575","Laura Choong","AU0073","Laura","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,31,"Sydney","NSW",2,5,2,"2nd voted out",NA,"Contenders",NA,NA,"Female","Asian",NA,NA,"Digital Marketing Manager",NA,NA,0,25,"30-34",NA
"576","Laura Morett","US0292","Laura M.","US","US27","Survivor: Blood vs. Water",27,43,"Salem","Oregon",10,26,15,"13th voted out","6th jury member","Galang",1969-07-30,NA,"Female",NA,NA,"White","Office Manager;Fitness Instructor","ENFJ",NA,4,23,"40-44",NA
"577","Laura Morett","US0292","Laura M.","US","US27","Survivor: Blood vs. Water",27,43,"Salem","Oregon",5,13,9,"7th voted out",NA,"Galang",1969-07-30,NA,"Female",NA,NA,"White","Office Manager;Fitness Instructor","ENFJ",NA,4,23,"40-44",NA
"578","Laura Wells","AU0111","Laura","AU","AU06","Survivor Australia: Brains vs. Brawn",6,36,"Sydney","NSW",17,35,17,"16th voted out","3rd jury member","Brains",NA,NA,"Female",NA,NA,NA,"Environmental Advocate",NA,NA,0,26,"35-39",NA
"579","Laurel Johnson","US0534","Laurel","US","US36","Survivor: Ghost Island",36,29,"Minneapolis","Minnesota",14,39,18,"2nd runner-up","11th jury member","Malolo",1988-02-29,NA,"Female","Black",NA,"POC","Financial Consultant","INTP",NA,1,20,"26-29",NA
"580","Lauren O'Connell","US0568","Lauren","US","US38","Survivor: Edge of Extinction",38,21,"Waco","Texas",13,37,16,"16th voted out","12th jury member","Manu",1996-10-25,NA,"Female",NA,NA,"White","Student","ESFP",NA,2,20,"18-21",NA
"581","Lauren Rimmer","US0510","Lauren","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,35,"Beaufort","North Carolina",11,33,12,"12th voted out","5th jury member","Yawa",1982-03-06,NA,"Female",NA,NA,"White","Fisherman","ISTJ",NA,1,18,"30-34",NA
"582","Lea Masters","US0122","Lea","US","US09","Survivor: Vanuatu",9,40,"Columbia","South Carolina",9,24,10,"10th voted out","1st jury member","Lopevi",1964-03-28,NA,"Male",NA,NA,"White","Drill Sergeant","ESFJ",NA,4,18,"35-39",NA
"583","Leandro Den Haan","NZ0008","Lee","NZ","NZ01","Survivor NZ: Nicaragua",1,29,"Motueka",NA,10,20,8,"7th voted out","1st jury member","Hermosa",NA,NA,"Male","Dutch/Filipino",NA,NA,"Canyoning Guide",NA,NA,3,19,"26-29",NA
"584","Leann Slaby","US0124","Leann","US","US09","Survivor: Vanuatu",9,35,"Kansasville","Wisconsin",11,30,12,"12th voted out","3rd jury member","Yasur",1969-07-08,NA,"Female",NA,NA,"White","Equity Research Assistant","INFJ",NA,3,18,"30-34",NA
"585","Lee-Anne van Renen","SA0106","Lee-Anne","SA","SA07","Survivor South Africa: Island of Secrets",7,33,"Durbanville","Western Cape",1,3,1,"1st voted out",NA,"Sa'ula",NA,NA,"Female",NA,NA,NA,"Life Coach/Mrs. Cape Town 2018",NA,NA,7,21,"30-34",1
"586","Lee Carseldine","AU0023","Lee","AU","AU01","Survivor Australia: 2016",1,40,"Brisbane","QLD",26,55,23,"Runner-up",NA,"Aganoa",NA,NA,"Male",NA,NA,NA,"Former Pro-Cricketer",NA,NA,4,24,"35-39",NA
"587","Leif Manson","US0363","Leif","US","US24","Survivor: One World",24,27,"San Diego","California",10,27,10,"8th voted out","4th jury member","Manono",1984-02-01,NA,"Male",NA,NA,"White","Phlebotomist","ISFP",NA,1,17,"26-29",NA
"588","Leslie Nease","US0224","Leslie","US","US15","Survivor: China",15,38,"Tega Cay","South Carolina",3,9,3,"3rd voted out",NA,"Fei Long",1969-03-25,NA,"Female",NA,NA,"White","Christian Radio Host","ENFP",NA,2,16,"35-39",NA
"589","Letshego Moshoeu","SA0066","Letshego","SA","SA04","Survivor South Africa: Maldives",4,27,"Johannesburg","Gauteng",14,27,18,"Runner-up",NA,"Pleb",1984-08-23,NA,"Female",NA,NA,NA,"Biokeniticist",NA,NA,3,19,"26-29",NA
"590","Lex van den Berghe","US0046","Lex","US","US03","Survivor: Africa",3,38,"Santa Cruz","California",14,38,14,"14th voted out","7th jury member","Boran",1963-06-18,NA,"Male",NA,NA,"White","Marketing Manager","ENTJ",NA,1,16,"35-39",NA
"591","Lex van den Berghe","US0046","Lex","US","US08","Survivor: All-Stars",8,40,"Santa Cruz","California",11,27,10,"8th voted out","1st jury member","Mogo Mogo",1963-06-18,NA,"Male",NA,NA,"White","Marketing Manager","ENTJ",NA,2,17,"35-39",NA
"592","Lezel Crook","SA0011","Lezel","SA","SA01","Survivor South Africa: Panama",1,28,"Cape Town","Western Cape",11,24,11,"9th voted out","2nd jury member","Rana",1978-12-03,NA,"Female",NA,NA,NA,"Attorney",NA,NA,3,16,"26-29",NA
"593","Liana Wallace","US0608","Liana","US","US41","Survivor: 41",41,20,"Washington","D.C.",11,21,12,"12th voted out","5th jury member","Yase",2000-10-25,NA,"Female","Black","Jewish","POC","College Student","ESTJ",NA,3,18,"18-21",NA
"594","Libby Vincek","US0525","Libby","US","US36","Survivor: Ghost Island",36,24,"Houston","Texas",8,25,9,"9th voted out","2nd jury member","Malolo",1992-08-24,NA,"Female",NA,NA,"White","Social Media Strategist","ESFJ",NA,0,20,"22-25",NA
"595","Liliana Gomez","US0207","Liliana","US","US14","Survivor: Fiji",14,25,"Los Angeles","California",4,11,5,"4th voted out",NA,"Moto",1981-04-05,NA,"Female","Mexican American","Hispanic or Latino","POC","Loan Officer","ISTJ",NA,0,19,"22-25",NA
"596","Lillian Morris","US0099","Lillian","US","US07","Survivor: Pearl Islands",7,51,"Loveland","Ohio",3,9,3,"3rd voted out",NA,"Morgan",1952-04-03,NA,"Female",NA,NA,"White","Scout Troop Leader","INFP",NA,6,18,"51-55",NA
"597","Lillian Morris","US0099","Lillian","US","US07","Survivor: Pearl Islands",7,51,"Loveland","Ohio",15,39,17,"Runner-up",NA,"Morgan",1952-04-03,NA,"Female",NA,NA,"White","Scout Troop Leader","INFP",NA,6,18,"51-55",NA
"598","Linda Spencer","US0036","Linda","US","US03","Survivor: Africa",3,44,"Boston","Massachusetts",4,12,4,"4th voted out",NA,"Samburu",1957-01-01,NA,"Female","Black",NA,"POC","Career Counselor","ESFJ",NA,1,16,"40-44",NA
"599","Lindsay Carmine","US0637","Lindsay","US","US43","Survivor: 43",43,42,"Downington","Pennsylvania",NA,NA,NA,NA,NA,"Coco",1980-01-21,NA,"Female",NA,NA,"White","Pediatric Nurse",NA,NA,4,NA,"40-44",NA
"600","Lindsay Dolashewich","US0616","Lindsay","US","US42","Survivor: 42",42,30,"Asbury Park","New Jersey",13,24,14,"13th voted out","7th jury member","Taku",1991-02-01,NA,"Female",NA,NA,"White","Dietitian","ESFP",176,2,18,"26-29",NA
"601","Lindsey Cascaddan","US0446","Lindsey","US","US30","Survivor: Worlds Apart",30,24,"College Park","Florida",4,11,4,"4th voted out",NA,"Escameca",1989-08-24,NA,"Female",NA,NA,"White","Hairdresser","ENFP",NA,2,18,"22-25",NA
"602","Lindsey Richter","US0038","Lindsey","US","US03","Survivor: Africa",3,26,"Portland","Oregon",6,18,6,"6th voted out",NA,"Samburu",1974-08-31,NA,"Female",NA,NA,"White","Advertising Executive","ESFP",NA,3,16,"26-29",NA
"603","Lisa Atkinson","SA0021","Lisa","SA","SA02","Survivor South Africa: Malaysia",2,21,"Durban","KZN",7,15,7,"7th voted out",NA,"Iban",1985-10-21,NA,"Female",NA,NA,NA,"Student",NA,NA,3,16,"18-21",NA
"604","Lisa Keiffer","US0119","Lisa","US","US09","Survivor: Vanuatu",9,44,"Mandeville","Louisiana",6,15,7,"7th voted out",NA,"Yasur",1960-05-03,NA,"Female",NA,NA,"White","Real Estate Agent","ESFJ",NA,1,18,"40-44",NA
"605","Lisa Whelchel","US0385","Lisa","US","US25","Survivor: Philippines",25,49,"Dallas","Texas",15,39,16,"Co-runner-up",NA,"Tandang",1963-05-29,NA,"Female",NA,NA,"White","Former TV Teen Star","INFP",NA,4,18,"45-50",NA
"606","Lisette Linares","US0211","Lisi","US","US14","Survivor: Fiji",14,36,"Los Angeles","California",8,21,9,"8th voted out","2nd jury member","Moto",1970-06-09,NA,"Female","Cuban American","Hispanic or Latino","POC","Customer Service Rep.","ESFP",NA,1,19,"35-39",NA
"607","LJ McKanas","US0416","LJ","US","US28","Survivor: Cagayan",28,34,"Boston","Massachusetts",8,25,10,"9th voted out","3rd jury member","Solana",1979-01-08,NA,"Male",NA,NA,"White","Horse Trainer","ISTP",NA,3,18,"30-34",NA
"608","Lorette Mostert","SA0030","Lorette","SA","SA02","Survivor South Africa: Malaysia",2,36,"Middelburg","MP",13,27,16,"Sole Survivor",NA,"Iban",1971-08-21,NA,"Female",NA,NA,NA,"Police Superintendent",NA,NA,3,16,"35-39",NA
"609","Louw Venter","SA0040","Louw","SA","SA03","Survivor South Africa: Santa Carolina",3,34,"Cape Town","Western Cape",8,17,10,"8th voted out","2nd jury member","Timbila",1975-08-16,NA,"Male",NA,NA,NA,"Actor",NA,NA,0,18,"30-34",NA
"610","Lucy Huang","US0482","Lucy","US","US33","Survivor: Millennials vs. Gen X",33,42,"Diamond Bar","California",4,12,4,"4th voted out",NA,"Takali",1973-09-22,NA,"Female","Asian",NA,"POC","Dietician","ISTJ",NA,0,20,"40-44",NA
"611","Luke Toki","AU0042","Luke","AU","AU02","Survivor Australia: 2017",2,30,"Perth","WA",21,46,18,"18th voted out","5th jury member","Asaga",NA,NA,"Male",NA,NA,NA,"Mining Technician",NA,NA,7,24,"26-29",NA
"612","Luke Toki","AU0042","Luke","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,33,"Perth","WA",23,47,22,"21st voted out","8th jury member","Champions",NA,NA,"Male",NA,NA,NA,"Mining Technician",NA,NA,8,25,"30-34",NA
"613","Lukhanyo Nontshinga","SA0049","Lukhanyo","SA","SA04","Survivor South Africa: Maldives",4,27,"Kimberley","Northern Cape",1,3,1,"1st voted out",NA,"Pleb",1983-09-24,NA,"Male",NA,NA,NA,"Pro Rugby Player",NA,NA,9,19,"26-29",1
"614","Lydia Lassila","AU0060","Lydia","AU","AU03","Survivor Australia: Champions vs. Contenders",3,36,"Melbourne","VIC",14,32,14,"14th voted out",NA,"Champions",NA,NA,"Female",NA,NA,NA,"Olympic Freestyle Skier",NA,NA,1,25,"35-39",NA
"615","Lydia Lassila","AU0060","Lydia","AU","AU05","Survivor Australia: All Stars",5,37,"Lorne","Victoria",8,18,7,"7th voted out",NA,"Mokuta",NA,NA,"Female",NA,NA,NA,"Olympic Freestyle Skier",NA,NA,4,24,"35-39",NA
